행정코드,행정동명,상권업종소분류명,상권업종소분류코드,점포수,매출
2611054500,보수동,버거,I21004,1,20480000
2611054500,보수동,토스트/샌드위치/샐러드,I21005,,
2611054500,보수동,치킨,I21006,8,12010000
2611054500,보수동,김밥/만두/분식,I21007,6,20480000
2611054500,보수동,아이스크림/빙수,I21008,,20480000
2611054500,보수동,그 외 기타 간이 음식점,I21099,3,9490000
2611054500,보수동,일반 유흥주점,I21101,3,8900000
2611054500,보수동,무도 유흥주점,I21102,,
2611054500,보수동,생맥주 전문,I21103,2,22880000
2611054500,보수동,요리주점,I21104,4,9700000
2611054500,보수동,카페,I21201,21,20480000
2611056000,부평동,백반/한정식,I20101,109,17570000
2611056000,부평동,국/탕/찌개류,I20102,11,18490000
2611056000,부평동,족발/보쌈,I20103,7,45130000
2611056000,부평동,전/부침개,I20104,1,5400000
2611056000,부평동,국수/칼국수,I20105,13,11930000
2611056000,부평동,냉면/밀면,I20106,5,30630000
2611056000,부평동,돼지고기 구이/찜,I20107,66,34970000
2611056000,부평동,소고기 구이/찜,I20108,8,154580000
2611056000,부평동,곱창 전골/구이,I20109,15,41100000
2611056000,부평동,닭/오리 고기 구이/찜,I20110,2,17030000
2611056000,부평동,횟집,I20111,20,36920000
2611056000,부평동,해산물 구이/찜,I20112,15,18660000
2611056000,부평동,복 요리 전문,I20113,,
2611056000,부평동,기타 한식 음식점,I20199,,
2611056000,부평동,중국집,I20201,13,20520000
2611056000,부평동,마라탕/훠궈,I20202,1,22850000
2611056000,부평동,일식 회/초밥,I20301,13,34010000
2611056000,부평동,일식 카레/돈가스/덮밥,I20302,,
2611056000,부평동,일식 면 요리,I20303,,
2611056000,부평동,기타 일식 음식점,I20399,,
2611056000,부평동,경양식,I20401,4,23210000
2611056000,부평동,파스타/스테이크,I20402,,
2611056000,부평동,패밀리레스토랑,I20403,,
2611056000,부평동,기타 서양식 음식점,I20499,,
2611056000,부평동,베트남식 전문,I20501,1,15910000
2611056000,부평동,기타 동남아식 전문,I20599,,
2611056000,부평동,구내식당,I20701,,
2611056000,부평동,뷔페,I20702,,
2611056000,부평동,빵/도넛,I21001,8,28400000
2611056000,부평동,떡/한과,I21002,5,7470000
2611056000,부평동,피자,I21003,4,51560000
2611056000,부평동,버거,I21004,1,22850000
2611056000,부평동,토스트/샌드위치/샐러드,I21005,,
2611056000,부평동,치킨,I21006,18,24660000
2611056000,부평동,김밥/만두/분식,I21007,29,22850000
2611056000,부평동,아이스크림/빙수,I21008,1,22850000
2611056000,부평동,그 외 기타 간이 음식점,I21099,11,13450000
2611056000,부평동,일반 유흥주점,I21101,140,9690000
2611056000,부평동,무도 유흥주점,I21102,,
2611056000,부평동,생맥주 전문,I21103,21,30510000
2611056000,부평동,요리주점,I21104,103,14310000
2611056000,부평동,카페,I21201,33,22850000
2611057000,광복동,백반/한정식,I20101,33,39890000
2611057000,광복동,국/탕/찌개류,I20102,3,17160000
2611057000,광복동,족발/보쌈,I20103,,
2611057000,광복동,전/부침개,I20104,,
2611057000,광복동,국수/칼국수,I20105,5,14310000
2611057000,광복동,냉면/밀면,I20106,3,27630000
2611057000,광복동,돼지고기 구이/찜,I20107,9,35410000
2611057000,광복동,소고기 구이/찜,I20108,2,
2611057000,광복동,곱창 전골/구이,I20109,,
2611057000,광복동,닭/오리 고기 구이/찜,I20110,2,15850000
2611057000,광복동,횟집,I20111,1,31770000
2611057000,광복동,해산물 구이/찜,I20112,2,16760000
2611057000,광복동,복 요리 전문,I20113,,
2611057000,광복동,기타 한식 음식점,I20199,,
2611057000,광복동,중국집,I20201,1,25920000
2611057000,광복동,마라탕/훠궈,I20202,2,27750000
2611057000,광복동,일식 회/초밥,I20301,11,43580000
2611057000,광복동,일식 카레/돈가스/덮밥,I20302,1,31300000
2611057000,광복동,일식 면 요리,I20303,1,33540000
2611057000,광복동,기타 일식 음식점,I20399,,
2611057000,광복동,경양식,I20401,11,27630000
2611057000,광복동,파스타/스테이크,I20402,1,16400000
2611057000,광복동,패밀리레스토랑,I20403,,
2611057000,광복동,기타 서양식 음식점,I20499,,
2611057000,광복동,베트남식 전문,I20501,6,17670000
2611057000,광복동,기타 동남아식 전문,I20599,,
2611057000,광복동,구내식당,I20701,,
2611057000,광복동,뷔페,I20702,,
2611057000,광복동,빵/도넛,I21001,8,30330000
2611057000,광복동,떡/한과,I21002,,
2611057000,광복동,피자,I21003,8,60630000
2611057000,광복동,버거,I21004,3,21600000
2611057000,광복동,토스트/샌드위치/샐러드,I21005,2,12070000
2611057000,광복동,치킨,I21006,1,16440000
2611057000,광복동,김밥/만두/분식,I21007,5,21600000
2611057000,광복동,아이스크림/빙수,I21008,2,21600000
2611057000,광복동,그 외 기타 간이 음식점,I21099,5,9270000
2611057000,광복동,일반 유흥주점,I21101,12,12790000
2611057000,광복동,무도 유흥주점,I21102,,
2611057000,광복동,생맥주 전문,I21103,4,20340000
2611057000,광복동,요리주점,I21104,32,20650000
2611057000,광복동,카페,I21201,53,21600000
2611058000,남포동,백반/한정식,I20101,56,15630000
2611058000,남포동,국/탕/찌개류,I20102,6,17670000
2611058000,남포동,족발/보쌈,I20103,1,48250000
2611058000,남포동,전/부침개,I20104,,
2611058000,남포동,국수/칼국수,I20105,5,12790000
2611058000,남포동,냉면/밀면,I20106,3,30140000
2611058000,남포동,돼지고기 구이/찜,I20107,18,33630000
2611058000,남포동,소고기 구이/찜,I20108,,
2611058000,남포동,곱창 전골/구이,I20109,32,11710000
2611058000,남포동,닭/오리 고기 구이/찜,I20110,1,
2611058000,남포동,횟집,I20111,85,34930000
2611058000,남포동,해산물 구이/찜,I20112,,
2611058000,남포동,복 요리 전문,I20113,,
2611058000,남포동,기타 한식 음식점,I20199,,
2611058000,남포동,중국집,I20201,9,28730000
2611058000,남포동,마라탕/훠궈,I20202,2,27750000
2611058000,남포동,일식 회/초밥,I20301,12,45380000
